,model,metric,split,value
0,bert,accuracy,dev,0.94609375
1,bert,accuracy,test,0.9425359150530919
2,bert,accuracy,dev,0.94609375
3,bert,accuracy,test,0.9356652092442224
4,bert,accuracy,dev,0.94296875
5,bert,accuracy,test,0.9375
6,bert,accuracy,dev,0.9492583918813428
7,bert,accuracy,test,0.9362101313320825
8,bert,accuracy,dev,0.9430132708821234
9,bert,accuracy,test,0.9437148217636022
10,glove,accuracy,dev,0.8796875
11,glove,accuracy,test,0.8744534665833854
12,glove,accuracy,dev,0.88359375
13,glove,accuracy,test,0.8744534665833854
14,glove,accuracy,dev,0.865625
15,glove,accuracy,test,0.874375
16,glove,accuracy,dev,0.8704137392661982
17,glove,accuracy,test,0.8749218261413383
18,glove,accuracy,dev,0.8672911787665886
19,glove,accuracy,test,0.8749218261413383
