,accuracy,balanced_accuracy,f1_weighted,relation,y_type,model
0,0.21342403628117915,0.21244444444444444,0.2057318445358866,Cause-Effect,P(E|C),bert
1,0.290677603141164,0.2918787878787879,0.28047672895800496,Cause-Effect,P(E),bert
2,0.23552834467120182,0.23466666666666666,0.2251825154354865,Cause-Effect,probabilistic_causality_diff,bert
3,0.23552834467120182,0.23466666666666666,0.2251825154354865,Cause-Effect,delta_P,bert
4,0.26591062801932364,0.2675555555555556,0.25565335359339747,Cause-Effect,P(E|no C),bert
5,0.23552834467120182,0.23466666666666666,0.2251825154354865,Cause-Effect,q,bert
6,0.19564007421150278,0.19355555555555556,0.1848797396418877,Cause-Effect,p,bert
7,0.23916553287981862,0.23911111111111114,0.23080564968753509,Cause-Effect,causal_power,bert
8,0.15867573696145126,0.15866666666666668,0.08556056908817775,Cause-Effect,P(E|C),glove
9,0.22155900287959773,0.22315151515151516,0.1571657767033649,Cause-Effect,P(E),glove
10,0.22695691609977323,0.22977777777777778,0.1429282815803049,Cause-Effect,probabilistic_causality_diff,glove
11,0.22695691609977323,0.22977777777777778,0.1429282815803049,Cause-Effect,delta_P,glove
12,0.2504782608695652,0.25377777777777777,0.1751041239321355,Cause-Effect,P(E|no C),glove
13,0.22695691609977323,0.22977777777777778,0.1429282815803049,Cause-Effect,q,glove
14,0.23414502164502166,0.22888888888888892,0.15349178078804185,Cause-Effect,p,glove
15,0.2166984126984127,0.21555555555555556,0.15867707847858817,Cause-Effect,causal_power,glove
