,model,metric,split,value
0,bert,accuracy,,0.7529691211401425
1,bert,accuracy,,0.8907363420427553
2,bert,accuracy,,0.919047619047619
3,bert,accuracy,,0.9142857142857143
4,bert,accuracy,,0.8928571428571429
5,bert,balanced_accuracy,,0.7791033220720721
6,bert,balanced_accuracy,,0.6103955518018018
7,bert,balanced_accuracy,,0.6662326388888888
8,bert,balanced_accuracy,,0.5755208333333334
9,bert,balanced_accuracy,,0.5512152777777778
10,bert,f1,,0.3658536585365854
11,bert,f1,,0.30303030303030304
12,bert,f1,,0.43333333333333335
13,bert,f1,,0.25
14,bert,f1,,0.18181818181818182
15,bert,precision,,0.23622047244094488
16,bert,precision,,0.3448275862068966
17,bert,precision,,0.5416666666666666
18,bert,precision,,0.5
19,bert,precision,,0.2631578947368421
20,bert,recall,,0.8108108108108109
21,bert,recall,,0.2702702702702703
22,bert,recall,,0.3611111111111111
23,bert,recall,,0.16666666666666666
24,bert,recall,,0.1388888888888889
25,bert,roc_auc,,0.853392454954955
26,bert,roc_auc,,0.8429757882882882
27,bert,roc_auc,,0.8781828703703703
28,bert,roc_auc,,0.8215422453703703
29,bert,roc_auc,,0.6597945601851852
30,glove,accuracy,,0.8693586698337292
31,glove,accuracy,,0.9168646080760094
32,glove,accuracy,,0.9047619047619048
33,glove,accuracy,,0.9047619047619048
34,glove,accuracy,,0.8833333333333333
35,glove,balanced_accuracy,,0.6108882319819819
36,glove,balanced_accuracy,,0.5514498873873874
37,glove,balanced_accuracy,,0.4947916666666667
38,glove,balanced_accuracy,,0.5073784722222222
39,glove,balanced_accuracy,,0.4830729166666667
40,glove,f1,,0.28571428571428575
41,glove,f1,,0.18604651162790697
42,glove,f1,,0.0
43,glove,f1,,0.04761904761904762
44,glove,f1,,0.0
45,glove,precision,,0.275
46,glove,precision,,0.6666666666666666
47,glove,precision,,0.0
48,glove,precision,,0.16666666666666666
49,glove,precision,,0.0
50,glove,recall,,0.2972972972972973
51,glove,recall,,0.10810810810810811
52,glove,recall,,0.0
53,glove,recall,,0.027777777777777776
54,glove,recall,,0.0
55,glove,roc_auc,,0.7371199324324325
56,glove,roc_auc,,0.8963260135135135
57,glove,roc_auc,,0.841869212962963
58,glove,roc_auc,,0.7544849537037037
59,glove,roc_auc,,0.7459490740740741
60,gpt2,accuracy,,0.7600950118764845
61,gpt2,accuracy,,0.9026128266033254
62,gpt2,accuracy,,0.930952380952381
63,gpt2,accuracy,,0.9142857142857143
64,gpt2,accuracy,,0.9071428571428571
65,gpt2,balanced_accuracy,,0.7830095720720721
66,gpt2,balanced_accuracy,,0.6169059684684685
67,gpt2,balanced_accuracy,,0.6223958333333333
68,gpt2,balanced_accuracy,,0.5503472222222222
69,gpt2,balanced_accuracy,,0.5464409722222222
70,gpt2,f1,,0.3726708074534162
71,gpt2,f1,,0.3278688524590164
72,gpt2,f1,,0.38297872340425526
73,gpt2,f1,,0.1818181818181818
74,gpt2,f1,,0.1702127659574468
75,gpt2,precision,,0.24193548387096775
76,gpt2,precision,,0.4166666666666667
77,gpt2,precision,,0.8181818181818182
78,gpt2,precision,,0.5
79,gpt2,precision,,0.36363636363636365
80,gpt2,recall,,0.8108108108108109
81,gpt2,recall,,0.2702702702702703
82,gpt2,recall,,0.25
83,gpt2,recall,,0.1111111111111111
84,gpt2,recall,,0.1111111111111111
85,gpt2,roc_auc,,0.87134009009009
86,gpt2,roc_auc,,0.8348113738738739
87,gpt2,roc_auc,,0.896701388888889
88,gpt2,roc_auc,,0.8017939814814814
89,gpt2,roc_auc,,0.769748263888889
90,conceptnet,accuracy,,0.9121140142517815
91,conceptnet,accuracy,,0.9121140142517815
92,conceptnet,accuracy,,0.9142857142857143
93,conceptnet,accuracy,,0.9142857142857143
94,conceptnet,accuracy,,0.9142857142857143
95,conceptnet,balanced_accuracy,,0.5
96,conceptnet,balanced_accuracy,,0.5
97,conceptnet,balanced_accuracy,,0.5
98,conceptnet,balanced_accuracy,,0.5
99,conceptnet,balanced_accuracy,,0.5
100,conceptnet,f1,,0.0
101,conceptnet,f1,,0.0
102,conceptnet,f1,,0.0
103,conceptnet,f1,,0.0
104,conceptnet,f1,,0.0
105,conceptnet,precision,,0.0
106,conceptnet,precision,,0.0
107,conceptnet,precision,,0.0
108,conceptnet,precision,,0.0
109,conceptnet,precision,,0.0
110,conceptnet,recall,,0.0
111,conceptnet,recall,,0.0
112,conceptnet,recall,,0.0
113,conceptnet,recall,,0.0
114,conceptnet,recall,,0.0
115,conceptnet,roc_auc,,0.6214808558558559
116,conceptnet,roc_auc,,0.8124296171171171
117,conceptnet,roc_auc,,0.8922164351851851
118,conceptnet,roc_auc,,0.7440682870370371
119,conceptnet,roc_auc,,0.7144097222222222
