,model,metric,split,value
0,bert,accuracy,,0.6318289786223278
1,bert,accuracy,,0.8432304038004751
2,bert,accuracy,,0.9
3,bert,accuracy,,0.9
4,bert,accuracy,,0.8547619047619047
5,bert,balanced_accuracy,,0.773754222972973
6,bert,balanced_accuracy,,0.6942567567567568
7,bert,balanced_accuracy,,0.7565104166666667
8,bert,balanced_accuracy,,0.6558159722222222
9,bert,balanced_accuracy,,0.5555555555555556
10,bert,f1,,0.3111111111111111
11,bert,f1,,0.3653846153846153
12,bert,f1,,0.5
13,bert,f1,,0.38235294117647056
14,bert,f1,,0.18666666666666665
15,bert,precision,,0.18617021276595744
16,bert,precision,,0.2835820895522388
17,bert,precision,,0.4375
18,bert,precision,,0.40625
19,bert,precision,,0.1794871794871795
20,bert,recall,,0.9459459459459459
21,bert,recall,,0.5135135135135135
22,bert,recall,,0.5833333333333334
23,bert,recall,,0.3611111111111111
24,bert,recall,,0.19444444444444445
25,bert,roc_auc,,0.852759009009009
26,bert,roc_auc,,0.8432573198198198
27,bert,roc_auc,,0.8826678240740741
28,bert,roc_auc,,0.8233506944444445
29,bert,roc_auc,,0.6585648148148148
30,glove,accuracy,,0.46318289786223277
31,glove,accuracy,,0.7482185273159145
32,glove,accuracy,,0.7523809523809524
33,glove,accuracy,,0.7714285714285715
34,glove,accuracy,,0.7547619047619047
35,glove,balanced_accuracy,,0.6568834459459459
36,glove,balanced_accuracy,,0.8009220157657657
37,glove,balanced_accuracy,,0.7261284722222222
38,glove,balanced_accuracy,,0.6736111111111112
39,glove,balanced_accuracy,,0.6644965277777778
40,glove,f1,,0.226027397260274
41,glove,f1,,0.3764705882352941
42,glove,f1,,0.3246753246753247
43,glove,f1,,0.29411764705882354
44,glove,f1,,0.2797202797202797
45,glove,precision,,0.12941176470588237
46,glove,precision,,0.24060150375939848
47,glove,precision,,0.211864406779661
48,glove,precision,,0.2
49,glove,precision,,0.18691588785046728
50,glove,recall,,0.8918918918918919
51,glove,recall,,0.8648648648648649
52,glove,recall,,0.6944444444444444
53,glove,recall,,0.5555555555555556
54,glove,recall,,0.5555555555555556
55,glove,roc_auc,,0.7371903153153153
56,glove,roc_auc,,0.8835867117117117
57,glove,roc_auc,,0.8216145833333334
58,glove,roc_auc,,0.7507957175925926
59,glove,roc_auc,,0.7256221064814815
60,gpt2,accuracy,,0.6484560570071259
61,gpt2,accuracy,,0.8669833729216152
62,gpt2,accuracy,,0.9071428571428571
63,gpt2,accuracy,,0.9142857142857143
64,gpt2,accuracy,,0.8976190476190476
65,gpt2,balanced_accuracy,,0.8072916666666667
66,gpt2,balanced_accuracy,,0.7194890202702703
67,gpt2,balanced_accuracy,,0.7478298611111112
68,gpt2,balanced_accuracy,,0.6762152777777778
69,gpt2,balanced_accuracy,,0.6041666666666667
70,gpt2,f1,,0.33333333333333337
71,gpt2,f1,,0.4166666666666667
72,gpt2,f1,,0.5063291139240507
73,gpt2,f1,,0.43750000000000006
74,gpt2,f1,,0.29508196721311475
75,gpt2,precision,,0.2
76,gpt2,precision,,0.3389830508474576
77,gpt2,precision,,0.46511627906976744
78,gpt2,precision,,0.5
79,gpt2,precision,,0.36
80,gpt2,recall,,1.0
81,gpt2,recall,,0.5405405405405406
82,gpt2,recall,,0.5555555555555556
83,gpt2,recall,,0.3888888888888889
84,gpt2,recall,,0.25
85,gpt2,roc_auc,,0.8711289414414415
86,gpt2,roc_auc,,0.8384712837837838
87,gpt2,roc_auc,,0.9047309027777778
88,gpt2,roc_auc,,0.806640625
89,gpt2,roc_auc,,0.7705439814814815
90,conceptnet,accuracy,,0.34441805225653205
91,conceptnet,accuracy,,0.6603325415676959
92,conceptnet,accuracy,,0.8166666666666667
93,conceptnet,accuracy,,0.7571428571428571
94,conceptnet,accuracy,,0.7833333333333333
95,conceptnet,balanced_accuracy,,0.6162021396396397
96,conceptnet,balanced_accuracy,,0.7527449324324325
97,conceptnet,balanced_accuracy,,0.8368055555555556
98,conceptnet,balanced_accuracy,,0.6657986111111112
99,conceptnet,balanced_accuracy,,0.6171875
100,conceptnet,f1,,0.2023121387283237
101,conceptnet,f1,,0.30917874396135264
102,conceptnet,f1,,0.4460431654676259
103,conceptnet,f1,,0.28169014084507044
104,conceptnet,f1,,0.24793388429752067
105,conceptnet,precision,,0.11326860841423948
106,conceptnet,precision,,0.18823529411764706
107,conceptnet,precision,,0.30097087378640774
108,conceptnet,precision,,0.18867924528301888
109,conceptnet,precision,,0.17647058823529413
110,conceptnet,recall,,0.9459459459459459
111,conceptnet,recall,,0.8648648648648649
112,conceptnet,recall,,0.8611111111111112
113,conceptnet,recall,,0.5555555555555556
114,conceptnet,recall,,0.4166666666666667
115,conceptnet,roc_auc,,0.6513935810810811
116,conceptnet,roc_auc,,0.8365709459459459
117,conceptnet,roc_auc,,0.8865740740740741
118,conceptnet,roc_auc,,0.7416811342592593
119,conceptnet,roc_auc,,0.7181712962962963
