,accuracy,balanced_accuracy,f1,f1_weighted,precision,recall,relation,roc_auc,y_type,model
0,0.9925700174761503,0.5,0.0,,0.0,0.0,Component-Whole,0.39653268932206315,causal_dependency,bert
1,0.22312895041898403,0.22123635399304162,,0.22167009455070658,,,Component-Whole,,P(E|C),bert
2,0.25702628123680754,0.25055903710018473,,0.25469027559255536,,,Component-Whole,,P(E),bert
3,0.2646648006240536,0.2646657183499289,,0.26465360586854275,,,Component-Whole,,probabilistic_causality_diff,bert
4,0.2646648006240536,0.2646657183499289,,0.26465360586854275,,,Component-Whole,,delta_P,bert
5,0.2709573410422307,0.2709530583214793,,0.2691039349530925,,,Component-Whole,,P(E|no C),bert
6,0.270908725459809,0.27092460881934566,,0.2704717909181072,,,Component-Whole,,q,bert
7,0.2274323802337385,0.22736842105263158,,0.22593452752277968,,,Component-Whole,,p,bert
8,0.22538908445455466,0.22534850640113796,,0.22407366662498104,,,Component-Whole,,causal_power,bert
9,0.9688017017780572,0.5231738456191011,0.08,,0.2,0.05,Other,0.7573287924565297,causal_dependency,bert
10,0.22198917489693723,0.21839468617017338,,0.22035245299534467,,,Other,,P(E|C),bert
11,0.2758007763897875,0.2699744483329389,,0.27275318999333165,,,Other,,P(E),bert
12,0.23689517010912323,0.23689223057644107,,0.23476346326680336,,,Other,,probabilistic_causality_diff,bert
13,0.23689517010912323,0.23689223057644107,,0.23476346326680336,,,Other,,delta_P,bert
14,0.2751153340045359,0.2750645343766941,,0.27487158732013195,,,Other,,P(E|no C),bert
15,0.23331880148971496,0.2333583959899749,,0.2311587936336196,,,Other,,q,bert
16,0.2382706766917293,0.23827067669172936,,0.23631839147719477,,,Other,,p,bert
17,0.24042606516290727,0.24042606516290727,,0.2387456008215721,,,Other,,causal_power,bert
18,0.9643529411764705,0.49897959183673474,0.0,,0.0,0.0,Instrument-Agency,0.5719948804263975,causal_dependency,bert
19,0.2399606436942952,0.2334205969469127,,0.23680263605352264,,,Instrument-Agency,,P(E|C),bert
20,0.29157669884635523,0.2831194610567339,,0.28631713089670485,,,Instrument-Agency,,P(E),bert
21,0.24386227084246884,0.2436691729323308,,0.23740564870140107,,,Instrument-Agency,,probabilistic_causality_diff,bert
22,0.2437186257087247,0.24343859649122807,,0.2392634008260716,,,Instrument-Agency,,delta_P,bert
23,0.2723846153846154,0.27266666666666667,,0.26965250183938555,,,Instrument-Agency,,P(E|no C),bert
24,0.22815384615384615,0.22799999999999998,,0.22314913060669533,,,Instrument-Agency,,q,bert
25,0.31360011535134097,0.31352380952380954,,0.30872645071146004,,,Instrument-Agency,,p,bert
26,0.2998637747269873,0.30046115288220554,,0.2976534724939876,,,Instrument-Agency,,causal_power,bert
27,0.9541338850302941,0.49533945836226695,0.0,,0.0,0.0,Cause-Effect,0.517659408456508,causal_dependency,bert
28,0.25614613401638675,0.2544784750026115,,0.25474506094139804,,,Cause-Effect,,P(E|C),bert
29,0.3020232500862027,0.29514176072559895,,0.29819229482521087,,,Cause-Effect,,P(E),bert
30,0.26819488466014463,0.26803966294723675,,0.2673277096550019,,,Cause-Effect,,probabilistic_causality_diff,bert
