,metric,value,model
160,f1,0.0,bert
161,f1,0.09523809523809525,bert
162,f1,0.07999999999999999,bert
163,f1,0.3157894736842105,bert
164,f1,0.28571428571428575,bert
165,precision,0.0,bert
166,precision,0.07692307692307693,bert
167,precision,0.058823529411764705,bert
168,precision,0.2727272727272727,bert
169,precision,0.3333333333333333,bert
170,recall,0.0,bert
171,recall,0.125,bert
172,recall,0.125,bert
173,recall,0.375,bert
174,recall,0.25,bert
175,roc_auc,0.545823195458232,bert
176,roc_auc,0.5396897810218978,bert
177,roc_auc,0.7317518248175182,bert
178,roc_auc,0.8499087591240876,bert
179,roc_auc,0.6698717948717949,bert
180,accuracy,0.2323943661971831,bert
181,accuracy,0.22695035460992907,bert
182,accuracy,0.24822695035460993,bert
183,accuracy,0.22419928825622776,bert
184,accuracy,0.20640569395017794,bert
185,balanced_accuracy,0.23573745691604672,bert
186,balanced_accuracy,0.22001731267432198,bert
187,balanced_accuracy,0.24680768568155895,bert
188,balanced_accuracy,0.2270794766021576,bert
189,balanced_accuracy,0.2024755994579047,bert
190,f1_weighted,0.23170013848350995,bert
191,f1_weighted,0.22587336326647262,bert
192,f1_weighted,0.24749578054198154,bert
193,f1_weighted,0.22211034124966053,bert
194,f1_weighted,0.2065010827011316,bert
195,accuracy,0.2640845070422535,bert
196,accuracy,0.2756183745583039,bert
197,accuracy,0.22614840989399293,bert
198,accuracy,0.23214285714285715,bert
199,accuracy,0.275,bert
200,balanced_accuracy,0.2633067875520706,bert
201,balanced_accuracy,0.27276284861190525,bert
202,balanced_accuracy,0.22338733244393622,bert
203,balanced_accuracy,0.23262826621317187,bert
204,balanced_accuracy,0.2724181827955413,bert
205,f1_weighted,0.26132202733993376,bert
206,f1_weighted,0.27638048883315075,bert
207,f1_weighted,0.22631154606159076,bert
208,f1_weighted,0.23012151862958313,bert
209,f1_weighted,0.275109101012208,bert
210,accuracy,0.24210526315789474,bert
211,accuracy,0.2147887323943662,bert
212,accuracy,0.28113879003558717,bert
213,accuracy,0.22857142857142856,bert
214,accuracy,0.21071428571428572,bert
215,balanced_accuracy,0.24210526315789474,bert
216,balanced_accuracy,0.21478696741854636,bert
217,balanced_accuracy,0.28114035087719297,bert
218,balanced_accuracy,0.22857142857142856,bert
219,balanced_accuracy,0.21071428571428572,bert
220,f1_weighted,0.2392454345867008,bert
221,f1_weighted,0.2125570823285482,bert
222,f1_weighted,0.27810121660986514,bert
223,f1_weighted,0.2297351178276439,bert
224,f1_weighted,0.20783973899570882,bert
225,accuracy,0.24210526315789474,bert
226,accuracy,0.2147887323943662,bert
227,accuracy,0.28113879003558717,bert
228,accuracy,0.22857142857142856,bert
229,accuracy,0.21071428571428572,bert
230,balanced_accuracy,0.24210526315789474,bert
231,balanced_accuracy,0.21478696741854636,bert
232,balanced_accuracy,0.28114035087719297,bert
233,balanced_accuracy,0.22857142857142856,bert
234,balanced_accuracy,0.21071428571428572,bert
235,f1_weighted,0.2392454345867008,bert
236,f1_weighted,0.2125570823285482,bert
237,f1_weighted,0.27810121660986514,bert
238,f1_weighted,0.2297351178276439,bert
239,f1_weighted,0.20783973899570882,bert
240,accuracy,0.28169014084507044,bert
241,accuracy,0.27208480565371024,bert
242,accuracy,0.22614840989399293,bert
243,accuracy,0.25622775800711745,bert
244,accuracy,0.25448028673835127,bert
245,balanced_accuracy,0.28167617319159965,bert
246,balanced_accuracy,0.2718671679197994,bert
247,balanced_accuracy,0.22625313283208018,bert
248,balanced_accuracy,0.2565481886534518,bert
249,balanced_accuracy,0.2547003873319663,bert
250,f1_weighted,0.27874328454219033,bert
251,f1_weighted,0.27206692879256306,bert
252,f1_weighted,0.22497905459208567,bert
253,f1_weighted,0.25258434927945084,bert
254,f1_weighted,0.2543828177599064,bert
255,accuracy,0.23157894736842105,bert
256,accuracy,0.2323943661971831,bert
257,accuracy,0.2704626334519573,bert
258,accuracy,0.21071428571428572,bert
259,accuracy,0.19285714285714287,bert
260,balanced_accuracy,0.23157894736842105,bert
261,balanced_accuracy,0.23233082706766917,bert
262,balanced_accuracy,0.27067669172932335,bert
263,balanced_accuracy,0.21071428571428572,bert
264,balanced_accuracy,0.19285714285714284,bert
265,f1_weighted,0.23081964140787667,bert
266,f1_weighted,0.23000049953795604,bert
267,f1_weighted,0.26780484534892396,bert
268,f1_weighted,0.21127724271857734,bert
269,f1_weighted,0.191529532693884,bert
270,accuracy,0.25263157894736843,bert
271,accuracy,0.24210526315789474,bert
272,accuracy,0.225,bert
273,accuracy,0.25,bert
274,accuracy,0.22142857142857142,bert
275,balanced_accuracy,0.25263157894736843,bert
276,balanced_accuracy,0.24210526315789474,bert
277,balanced_accuracy,0.225,bert
278,balanced_accuracy,0.25,bert
279,balanced_accuracy,0.22142857142857145,bert
280,f1_weighted,0.2512590115242167,bert
281,f1_weighted,0.24307121337081108,bert
282,f1_weighted,0.22387906600496124,bert
283,f1_weighted,0.2496666226563086,bert
284,f1_weighted,0.21997300470750292,bert
285,accuracy,0.24210526315789474,bert
286,accuracy,0.23859649122807017,bert
287,accuracy,0.2357142857142857,bert
288,accuracy,0.26071428571428573,bert
289,accuracy,0.22142857142857142,bert
290,balanced_accuracy,0.24210526315789474,bert
291,balanced_accuracy,0.23859649122807017,bert
292,balanced_accuracy,0.2357142857142857,bert
293,balanced_accuracy,0.2607142857142857,bert
294,balanced_accuracy,0.2214285714285714,bert
295,f1_weighted,0.24164253556712192,bert
296,f1_weighted,0.2385912367597631,bert
297,f1_weighted,0.23487417882606937,bert
298,f1_weighted,0.2601950383980563,bert
299,f1_weighted,0.22025906203764642,bert
300,accuracy,0.9215686274509803,bert
301,accuracy,0.9411764705882353,bert
302,accuracy,0.97,bert
303,accuracy,0.92,bert
304,accuracy,0.92,bert
305,balanced_accuracy,0.47959183673469385,bert
306,balanced_accuracy,0.4897959183673469,bert
307,balanced_accuracy,0.5,bert
308,balanced_accuracy,0.4742268041237113,bert
309,balanced_accuracy,0.4742268041237113,bert
310,f1,0.0,bert
311,f1,0.0,bert
312,f1,0.0,bert
313,f1,0.0,bert
314,f1,0.0,bert
315,precision,0.0,bert
316,precision,0.0,bert
317,precision,0.0,bert
318,precision,0.0,bert
319,precision,0.0,bert
320,recall,0.0,bert
321,recall,0.0,bert
322,recall,0.0,bert
323,recall,0.0,bert
324,recall,0.0,bert
325,roc_auc,0.48469387755102045,bert
326,roc_auc,0.8112244897959183,bert
327,roc_auc,0.752577319587629,bert
328,roc_auc,0.429553264604811,bert
329,roc_auc,0.7388316151202748,bert
330,accuracy,0.24271844660194175,bert
331,accuracy,0.2549019607843137,bert
332,accuracy,0.18811881188118812,bert
333,accuracy,0.2222222222222222,bert
334,accuracy,0.1717171717171717,bert
335,balanced_accuracy,0.24609307359307359,bert
336,balanced_accuracy,0.24640692640692635,bert
337,balanced_accuracy,0.19451583504215084,bert
338,balanced_accuracy,0.21810776942355886,bert
339,balanced_accuracy,0.16557644110275688,bert
340,f1_weighted,0.24096793035961908,bert
341,f1_weighted,0.2515382221264574,bert
342,f1_weighted,0.17901107610985575,bert
343,f1_weighted,0.21407206189814884,bert
344,f1_weighted,0.16133164221399518,bert
345,accuracy,0.23529411764705882,bert
346,accuracy,0.3137254901960784,bert
347,accuracy,0.3465346534653465,bert
348,accuracy,0.16,bert
349,accuracy,0.25252525252525254,bert
350,balanced_accuracy,0.23043417366946778,bert
351,balanced_accuracy,0.30577030812324935,bert
352,balanced_accuracy,0.33166666666666667,bert
353,balanced_accuracy,0.15570332480818413,bert
354,balanced_accuracy,0.2526423475568717,bert
355,f1_weighted,0.23095920845281462,bert
356,f1_weighted,0.31321890169559496,bert
357,f1_weighted,0.33761202207177243,bert
358,f1_weighted,0.15292568894520114,bert
359,f1_weighted,0.25388774608632764,bert
360,accuracy,0.23076923076923078,bert
361,accuracy,0.22772277227722773,bert
362,accuracy,0.22772277227722773,bert
363,accuracy,0.21212121212121213,bert
364,accuracy,0.15151515151515152,bert
365,balanced_accuracy,0.22952380952380952,bert
366,balanced_accuracy,0.22904761904761903,bert
367,balanced_accuracy,0.22904761904761903,bert
368,balanced_accuracy,0.21263157894736842,bert
369,balanced_accuracy,0.15052631578947367,bert
370,f1_weighted,0.2168937708411392,bert
371,f1_weighted,0.22401572634798783,bert
372,f1_weighted,0.22959868992086274,bert
373,f1_weighted,0.2105893772560439,bert
374,f1_weighted,0.14783845303879403,bert
375,accuracy,0.23076923076923078,bert
376,accuracy,0.21782178217821782,bert
377,accuracy,0.25,bert
378,accuracy,0.19,bert
379,accuracy,0.15151515151515152,bert
380,balanced_accuracy,0.22999999999999998,bert
381,balanced_accuracy,0.21857142857142858,bert
382,balanced_accuracy,0.25,bert
383,balanced_accuracy,0.19,bert
384,balanced_accuracy,0.15052631578947367,bert
385,f1_weighted,0.21827920834732437,bert
386,f1_weighted,0.2186986991382065,bert
387,f1_weighted,0.2509500317786992,bert
388,f1_weighted,0.1873975231118088,bert
389,f1_weighted,0.14834620716973657,bert
390,accuracy,0.22115384615384615,bert
391,accuracy,0.29,bert
392,accuracy,0.31,bert
393,accuracy,0.18,bert
394,accuracy,0.29,bert
395,balanced_accuracy,0.22333333333333333,bert
396,balanced_accuracy,0.29000000000000004,bert
397,balanced_accuracy,0.30999999999999994,bert
398,balanced_accuracy,0.18000000000000002,bert
399,balanced_accuracy,0.29000000000000004,bert
400,f1_weighted,0.21147403069794934,bert
401,f1_weighted,0.28987822987822986,bert
402,f1_weighted,0.29811481523621697,bert
403,f1_weighted,0.18133799017519947,bert
404,f1_weighted,0.282068744702891,bert
405,accuracy,0.23076923076923078,bert
406,accuracy,0.23,bert
407,accuracy,0.22,bert
408,accuracy,0.23,bert
409,accuracy,0.18,bert
410,balanced_accuracy,0.23095238095238094,bert
411,balanced_accuracy,0.22999999999999998,bert
412,balanced_accuracy,0.22000000000000003,bert
413,balanced_accuracy,0.22999999999999998,bert
414,balanced_accuracy,0.18,bert
415,f1_weighted,0.21906277455798537,bert
416,f1_weighted,0.22883248014155255,bert
417,f1_weighted,0.22362214293775012,bert
418,f1_weighted,0.2244631185807656,bert
419,f1_weighted,0.17388861235551134,bert
420,accuracy,0.24271844660194175,bert
421,accuracy,0.2376237623762376,bert
422,accuracy,0.27,bert
423,accuracy,0.29,bert
424,accuracy,0.2,bert
425,balanced_accuracy,0.24238095238095236,bert
426,balanced_accuracy,0.24,bert
427,balanced_accuracy,0.27,bert
428,balanced_accuracy,0.29,bert
429,balanced_accuracy,0.2,bert
430,f1_weighted,0.24282209006503977,bert
431,f1_weighted,0.2290964231558291,bert
432,f1_weighted,0.26672009150270026,bert
433,f1_weighted,0.2907517482517482,bert
434,f1_weighted,0.18654906303874447,bert
435,accuracy,0.2524271844660194,bert
436,accuracy,0.22772277227722773,bert
437,accuracy,0.24752475247524752,bert
438,accuracy,0.3,bert
439,accuracy,0.1919191919191919,bert
440,balanced_accuracy,0.2523809523809524,bert
441,balanced_accuracy,0.2276190476190476,bert
442,balanced_accuracy,0.24761904761904763,bert
443,balanced_accuracy,0.3,bert
444,balanced_accuracy,0.1926315789473684,bert
445,f1_weighted,0.25213917406048214,bert
446,f1_weighted,0.2229480499719288,bert
447,f1_weighted,0.2376889500938659,bert
448,f1_weighted,0.30395339161397383,bert
449,f1_weighted,0.1724064974064974,bert
450,accuracy,0.9306930693069307,bert
451,accuracy,0.9154228855721394,bert
452,accuracy,0.905,bert
453,accuracy,0.92,bert
454,accuracy,0.93,bert
455,balanced_accuracy,0.544458762886598,bert
456,balanced_accuracy,0.5965025906735751,bert
457,balanced_accuracy,0.4689119170984456,bert
458,balanced_accuracy,0.47668393782383417,bert
459,balanced_accuracy,0.48186528497409326,bert
460,f1,0.125,bert
461,f1,0.1904761904761905,bert
462,f1,0.0,bert
463,f1,0.0,bert
464,f1,0.0,bert
465,precision,0.125,bert
466,precision,0.15384615384615385,bert
467,precision,0.0,bert
468,precision,0.0,bert
469,precision,0.0,bert
470,recall,0.125,bert
471,recall,0.25,bert
472,recall,0.0,bert
473,recall,0.0,bert
474,recall,0.0,bert
475,roc_auc,0.6649484536082474,bert
476,roc_auc,0.7273316062176166,bert
477,roc_auc,0.6062176165803108,bert
