,accuracy,balanced_accuracy,f1,f1_weighted,precision,recall,relation,roc_auc,y_type,model
64,0.2609633569739952,0.25744617853410956,,0.25826532287980886,,,Product-Producer,,P(E|C),bert
65,0.2886474649574965,0.28852449540324965,,0.28678781076386406,,,Product-Producer,,P(E),bert
66,0.2789218067022826,0.2788177339901478,,0.27476188291522263,,,Product-Producer,,probabilistic_causality_diff,bert
67,0.2789218067022826,0.2788177339901478,,0.27476188291522263,,,Product-Producer,,delta_P,bert
68,0.2925919674195536,0.29251231527093596,,0.29216646750180714,,,Product-Producer,,P(E|no C),bert
69,0.2802000471894709,0.28024630541871925,,0.27631991302099157,,,Product-Producer,,q,bert
70,0.24831957260806217,0.24832512315270935,,0.24701966093752087,,,Product-Producer,,p,bert
71,0.26080064571443884,0.2607881773399015,,0.25703046174678923,,,Product-Producer,,causal_power,bert
72,0.9832553596638103,0.5,0.0,,0.0,0.0,Entity-Origin,0.7241835528537657,causal_dependency,bert
73,0.26117909867909866,0.26034260289210237,,0.2624179517568118,,,Entity-Origin,,P(E|C),bert
74,0.27949468851019954,0.27507499867577734,,0.27869565076910047,,,Entity-Origin,,P(E),bert
75,0.25954221672774364,0.2599014778325123,,0.25875947518641246,,,Entity-Origin,,probabilistic_causality_diff,bert
76,0.25954221672774364,0.2599014778325123,,0.25875947518641246,,,Entity-Origin,,delta_P,bert
77,0.25758515878838695,0.2575862068965517,,0.25680177544760635,,,Entity-Origin,,P(E|no C),bert
78,0.24839130932744338,0.24876847290640391,,0.24687631097461957,,,Entity-Origin,,q,bert
79,0.24157679139153826,0.24152709359605912,,0.24159899652269928,,,Entity-Origin,,p,bert
80,0.24843272892429163,0.24842364532019703,,0.24881824187569945,,,Entity-Origin,,causal_power,bert
81,0.9925700174761503,0.5,0.0,,0.0,0.0,Component-Whole,0.583663964119372,causal_dependency,glove
82,0.22951265935588444,0.21889359028842031,,0.2081830269758508,,,Component-Whole,,P(E|C),glove
83,0.21928631377547786,0.20672182121314528,,0.18907027771298496,,,Component-Whole,,P(E),glove
84,0.18803652548983618,0.1880512091038407,,0.18511402598844826,,,Component-Whole,,probabilistic_causality_diff,glove
85,0.18803652548983618,0.1880512091038407,,0.18511402598844826,,,Component-Whole,,delta_P,glove
86,0.21916945808287064,0.21923186344238976,,0.21329673687350198,,,Component-Whole,,P(E|no C),glove
87,0.18707920175412435,0.18694167852062588,,0.18371795869325439,,,Component-Whole,,q,glove
88,0.19749553094205044,0.19738264580369846,,0.1925586321507091,,,Component-Whole,,p,glove
89,0.19536949483402072,0.19524893314367,,0.1924105914686062,,,Component-Whole,,causal_power,glove
90,0.9709243491980507,0.5,0.0,,0.0,0.0,Other,0.44109772020355964,causal_dependency,glove
91,0.23474514333165905,0.2145607061484731,,0.20307481064399932,,,Other,,P(E|C),glove
92,0.20635278099693571,0.1928112579244655,,0.17792887517892866,,,Other,,P(E),glove
93,0.20224640406590133,0.20216791979949872,,0.1999403638147142,,,Other,,probabilistic_causality_diff,glove
94,0.20224640406590133,0.20216791979949872,,0.1999403638147142,,,Other,,delta_P,glove
95,0.18436719962641962,0.18493046094860977,,0.181223439738881,,,Other,,P(E|no C),glove
96,0.20786026265603863,0.20779448621553884,,0.20522897894661388,,,Other,,q,glove
97,0.18845864661654135,0.18845864661654135,,0.18614931065709764,,,Other,,p,glove
98,0.18775689223057646,0.18775689223057646,,0.18546581722045888,,,Other,,causal_power,glove
99,0.966313725490196,0.5,0.0,,0.0,0.0,Instrument-Agency,0.6241531664212077,causal_dependency,glove
100,0.20636405730807234,0.18817703349282297,,0.18100867152764213,,,Instrument-Agency,,P(E|C),glove
101,0.26333978103692723,0.24714667102538956,,0.2353417357145829,,,Instrument-Agency,,P(E),glove
102,0.19066522036819067,0.19074686716791978,,0.1908888776149989,,,Instrument-Agency,,probabilistic_causality_diff,glove
103,0.19628892119981228,0.19621052631578945,,0.19523526224039933,,,Instrument-Agency,,delta_P,glove
104,0.25407692307692303,0.2542857142857143,,0.24883957598929912,,,Instrument-Agency,,P(E|no C),glove
105,0.1846153846153846,0.18466666666666665,,0.1831691761878147,,,Instrument-Agency,,q,glove
106,0.23212669422282034,0.23199999999999998,,0.2306941639158119,,,Instrument-Agency,,p,glove
107,0.22607413556889672,0.2263157894736842,,0.22544598225942797,,,Instrument-Agency,,causal_power,glove
108,0.9631190089158169,0.5,0.0,,0.0,0.0,Cause-Effect,0.550519756270651,causal_dependency,glove
109,0.22933982801265201,0.22633030626340478,,0.21274882909047738,,,Cause-Effect,,P(E|C),glove
110,0.2322610216245505,0.21106774063877837,,0.1964792163537677,,,Cause-Effect,,P(E),glove
111,0.2492636466867038,0.24985329646818735,,0.23938023004673373,,,Cause-Effect,,probabilistic_causality_diff,glove
112,0.24122292826297556,0.24228972054902737,,0.2331471894882045,,,Cause-Effect,,delta_P,glove
113,0.21933497536945815,0.21931707317073174,,0.21435933208546656,,,Cause-Effect,,P(E|no C),glove
114,0.24324782417216798,0.24416651854777655,,0.23518390934723224,,,Cause-Effect,,q,glove
115,0.1924088669950739,0.19256097560975607,,0.18182394633669088,,,Cause-Effect,,p,glove
116,0.1924088669950739,0.1925609756097561,,0.1818239463366909,,,Cause-Effect,,causal_power,glove
117,0.9550423483002669,0.5,0.0,,0.0,0.0,Entity-Destination,0.5857767261493969,causal_dependency,glove
118,0.1858588704943055,0.18411074767811014,,0.18472197305862598,,,Entity-Destination,,P(E|C),glove
119,0.2011438184741352,0.19481138376726612,,0.18414221462035876,,,Entity-Destination,,P(E),glove
120,0.18825986857279448,0.1873761777438248,,0.18412860870107772,,,Entity-Destination,,probabilistic_causality_diff,glove
121,0.18825986857279448,0.1873761777438248,,0.18412860870107772,,,Entity-Destination,,delta_P,glove
122,0.19511228345334,0.19500891265597148,,0.19105712286961377,,,Entity-Destination,,P(E|no C),glove
123,0.19058823529411764,0.1896068882098294,,0.1856622970336574,,,Entity-Destination,,q,glove
124,0.1846732561991789,0.18481283422459893,,0.1793987172421571,,,Entity-Destination,,p,glove
125,0.19059219247640471,0.1904639674051439,,0.1849697045772691,,,Entity-Destination,,causal_power,glove
126,0.9666987402389957,0.5,0.0,,0.0,0.0,Content-Container,0.5761355311355311,causal_dependency,glove
127,0.17608138558112593,0.16312167832167832,,0.1535236499907505,,,Content-Container,,P(E|C),glove
128,0.3344696501352205,0.33230259459210865,,0.31808228679270323,,,Content-Container,,P(E),glove
129,0.19452486933878657,0.19518162996423866,,0.18690164607897913,,,Content-Container,,probabilistic_causality_diff,glove
130,0.19452486933878657,0.19518162996423866,,0.18690164607897913,,,Content-Container,,delta_P,glove
131,0.3162770562770563,0.31627705627705627,,0.30912440750093595,,,Content-Container,,P(E|no C),glove
132,0.19452486933878657,0.19518162996423866,,0.18690164607897913,,,Content-Container,,q,glove
133,0.19463203463203466,0.19463203463203463,,0.18574454252510292,,,Content-Container,,p,glove
134,0.19463203463203466,0.19463203463203463,,0.18574454252510292,,,Content-Container,,causal_power,glove
135,0.9889880952380953,0.5,0.0,,0.0,0.0,Message-Topic,0.7889460317460317,causal_dependency,glove
136,0.2236568790819752,0.21486078366078365,,0.2047276340684287,,,Message-Topic,,P(E|C),glove
137,0.2349013324583958,0.1995458548697679,,0.1737609685192119,,,Message-Topic,,P(E),glove
138,0.23040429338103757,0.23052307692307691,,0.22437759295759419,,,Message-Topic,,probabilistic_causality_diff,glove
139,0.23040429338103757,0.23052307692307691,,0.22437759295759419,,,Message-Topic,,delta_P,glove
140,0.19865190107050573,0.19803076923076923,,0.19214666593477325,,,Message-Topic,,P(E|no C),glove
