,accuracy,balanced_accuracy,f1,f1_weighted,precision,recall,relation,roc_auc,y_type,model
0,0.23703757319700572,0.23751354825039037,,0.2346883481688463,,,Component-Whole,,P(E|C),bert
1,0.32292301403690643,0.3232822701243754,,0.3243987573936347,,,Component-Whole,,P(E),bert
2,0.2432667690732207,0.2431578947368421,,0.24102484995225498,,,Component-Whole,,probabilistic_causality_diff,bert
3,0.2432667690732207,0.2431578947368421,,0.24102484995225498,,,Component-Whole,,delta_P,bert
4,0.3312243992719375,0.3311522048364154,,0.33158574642372807,,,Component-Whole,,P(E|no C),bert
5,0.2464589547102281,0.24645803698435276,,0.243739640303496,,,Component-Whole,,q,bert
6,0.25606846235029596,0.25604551920341395,,0.2547731780094291,,,Component-Whole,,p,bert
7,0.2539939915791309,0.254054054054054,,0.25336974728808526,,,Component-Whole,,causal_power,bert
8,0.9900709219858156,0.5333333333333333,0.1,,0.2,0.06666666666666667,Other,0.7512544802867384,causal_dependency,bert
9,0.21550952967602707,0.21540100250626565,,0.21430513372139984,,,Other,,P(E|C),bert
10,0.27510687759923075,0.2749475569802248,,0.2723018483740497,,,Other,,P(E),bert
11,0.20645363408521306,0.20645363408521306,,0.20560684257358272,,,Other,,probabilistic_causality_diff,bert
12,0.20429824561403512,0.20429824561403512,,0.20433397143228865,,,Other,,delta_P,bert
13,0.2737468671679198,0.2737468671679198,,0.2705398413865194,,,Other,,P(E|no C),bert
14,0.20429824561403512,0.20429824561403512,,0.20433397143228865,,,Other,,q,bert
15,0.2531099765854916,0.25295739348370927,,0.25185036701024344,,,Other,,p,bert
16,0.25526295313241754,0.2554260651629073,,0.2544051700625453,,,Other,,causal_power,bert
17,0.24791233298087087,0.2480952380952381,,0.24686727640201395,,,Instrument-Agency,,P(E|C),bert
18,0.2855418629241565,0.2855238095238095,,0.2859986557639912,,,Instrument-Agency,,P(E),bert
19,0.26544865255756345,0.26546867167919797,,0.26138608421326665,,,Instrument-Agency,,probabilistic_causality_diff,bert
20,0.26144825251755943,0.26108771929824565,,0.25736129440761635,,,Instrument-Agency,,delta_P,bert
21,0.2836923076923077,0.2836190476190476,,0.28231298252548076,,,Instrument-Agency,,P(E|no C),bert
22,0.25337012932062436,0.2535639097744361,,0.24845253586721078,,,Instrument-Agency,,q,bert
23,0.2878461538461538,0.2874285714285715,,0.28590827733501634,,,Instrument-Agency,,p,bert
24,0.2878461538461538,0.2874285714285715,,0.2859082773350163,,,Instrument-Agency,,causal_power,bert
25,0.31285714285714283,0.313195374229857,,0.3114417741520884,,,Member-Collection,,P(E|C),bert
26,0.31899946292531495,0.31782072333796474,,0.31627239695773984,,,Member-Collection,,P(E),bert
27,0.2971428571428571,0.2971428571428571,,0.2955037750477566,,,Member-Collection,,probabilistic_causality_diff,bert
28,0.2971428571428571,0.2971428571428571,,0.2955037750477566,,,Member-Collection,,delta_P,bert
29,0.30883597883597885,0.30883597883597885,,0.3050497779375282,,,Member-Collection,,P(E|no C),bert
30,0.2971428571428571,0.2971428571428571,,0.2955037750477566,,,Member-Collection,,q,bert
31,0.2636507936507937,0.2636507936507936,,0.26224499621451125,,,Member-Collection,,p,bert
32,0.2636507936507937,0.26365079365079364,,0.26224499621451125,,,Member-Collection,,causal_power,bert
33,0.9930297522289543,0.5,0.0,,0.0,0.0,Cause-Effect,0.5852688442211056,causal_dependency,bert
34,0.25527702231964666,0.25527016885553466,,0.2532943751112003,,,Cause-Effect,,P(E|C),bert
35,0.294023085725658,0.29395059412132585,,0.29239054301834644,,,Cause-Effect,,P(E),bert
36,0.25220197044334974,0.25209756097560976,,0.2502345113322383,,,Cause-Effect,,probabilistic_causality_diff,bert
37,0.25220197044334974,0.25209756097560976,,0.2502345113322383,,,Cause-Effect,,delta_P,bert
38,0.2850985221674877,0.28504878048780485,,0.28405844788506,,,Cause-Effect,,P(E|no C),bert
39,0.2552167487684729,0.2551219512195122,,0.2535967691001268,,,Cause-Effect,,q,bert
40,0.2560613100718939,0.2559918699186992,,0.25409337041334384,,,Cause-Effect,,p,bert
41,0.2542315270935961,0.2543170731707317,,0.2527969969782431,,,Cause-Effect,,causal_power,bert
42,0.9739777567831867,0.5,0.0,,0.0,0.0,Entity-Destination,0.5864948263118995,causal_dependency,bert
43,0.2472659031531626,0.2472727272727273,,0.24226052143533644,,,Entity-Destination,,P(E|C),bert
44,0.292256471174748,0.2926539343009932,,0.2901385671192093,,,Entity-Destination,,P(E),bert
45,0.2651336898395722,0.2651336898395722,,0.2611238050204115,,,Entity-Destination,,probabilistic_causality_diff,bert
46,0.2651336898395722,0.2651336898395722,,0.2611238050204115,,,Entity-Destination,,delta_P,bert
47,0.3016399286987522,0.3016399286987522,,0.2998476902077746,,,Entity-Destination,,P(E|no C),bert
48,0.2651336898395722,0.2651336898395722,,0.2611238050204115,,,Entity-Destination,,q,bert
49,0.2590374331550802,0.25903743315508027,,0.25792870620287955,,,Entity-Destination,,p,bert
50,0.2590374331550802,0.25903743315508027,,0.25792870620287955,,,Entity-Destination,,causal_power,bert
51,0.9814814814814815,0.5,0.0,,0.0,0.0,Content-Container,0.7415094339622641,causal_dependency,bert
52,0.263215887453381,0.2627705627705628,,0.2598032650311646,,,Content-Container,,P(E|C),bert
53,0.44776669327985463,0.43627540041657686,,0.4397669665210516,,,Content-Container,,P(E),bert
54,0.27229437229437226,0.27229437229437226,,0.26868004072836627,,,Content-Container,,probabilistic_causality_diff,bert
55,0.27229437229437226,0.27229437229437226,,0.26868004072836627,,,Content-Container,,delta_P,bert
56,0.37004329004329006,0.37004329004329006,,0.3643207946849094,,,Content-Container,,P(E|no C),bert
57,0.27229437229437226,0.27229437229437226,,0.26868004072836627,,,Content-Container,,q,bert
58,0.26857142857142857,0.26857142857142857,,0.2647959421214108,,,Content-Container,,p,bert
59,0.26857142857142857,0.26857142857142857,,0.2647959421214108,,,Content-Container,,causal_power,bert
60,0.23475982905982903,0.2346461538461538,,0.2331099931398279,,,Message-Topic,,P(E|C),bert
61,0.2716287929125138,0.2715692307692308,,0.2685842139406357,,,Message-Topic,,P(E),bert
62,0.22733548002385212,0.22738461538461538,,0.22421494357120247,,,Message-Topic,,probabilistic_causality_diff,bert
63,0.22733548002385212,0.22738461538461538,,0.22421494357120247,,,Message-Topic,,delta_P,bert
64,0.27962933810375673,0.27963076923076924,,0.27669962019514044,,,Message-Topic,,P(E|no C),bert
65,0.22733548002385212,0.22738461538461538,,0.2248640263350279,,,Message-Topic,,q,bert
66,0.2555320214669052,0.23297526143841935,,0.24836415345319002,,,Message-Topic,,p,bert
67,0.2586466308884913,0.2587076923076923,,0.25739338295475356,,,Message-Topic,,causal_power,bert
68,0.21223485326933603,0.21236453201970446,,0.21070173104522905,,,Product-Producer,,P(E|C),bert
69,0.367015650038394,0.36676723787068616,,0.36489216125526225,,,Product-Producer,,P(E),bert
70,0.2511385554707556,0.2512807881773399,,0.2514146127900427,,,Product-Producer,,probabilistic_causality_diff,bert
71,0.2511385554707556,0.2512807881773399,,0.2514146127900427,,,Product-Producer,,delta_P,bert
72,0.3549434538264067,0.35472906403940885,,0.3535108971692542,,,Product-Producer,,P(E|no C),bert
73,0.2511385554707556,0.2512807881773399,,0.2514146127900427,,,Product-Producer,,q,bert
74,0.30394435578991186,0.3038423645320197,,0.3014452043742554,,,Product-Producer,,p,bert
75,0.30394435578991186,0.30384236453201974,,0.3014452043742554,,,Product-Producer,,causal_power,bert
76,0.2534168326171261,0.2535467980295566,,0.25312309383675313,,,Entity-Origin,,P(E|C),bert
77,0.32143458737467395,0.3196949461777048,,0.31940211984762545,,,Entity-Origin,,P(E),bert
78,0.24631310484575342,0.24635467980295567,,0.245565769783068,,,Entity-Origin,,probabilistic_causality_diff,bert
79,0.24631310484575342,0.24635467980295567,,0.245565769783068,,,Entity-Origin,,delta_P,bert
80,0.2934472277539042,0.29334975369458133,,0.2939237090518093,,,Entity-Origin,,P(E|no C),bert
81,0.2404915627292737,0.24049261083743842,,0.2399535321831361,,,Entity-Origin,,q,bert
82,0.27680431820563883,0.2766009852216749,,0.27391747347767326,,,Entity-Origin,,p,bert
83,0.27514385161543975,0.27680240831964975,,0.27351703705122293,,,Entity-Origin,,causal_power,bert
84,0.21694882085018885,0.21355920987499935,,0.2006310192761401,,,Component-Whole,,P(E|C),glove
85,0.20511886250309277,0.20454170769960242,,0.20087013011327723,,,Component-Whole,,P(E),glove
86,0.2136353428373802,0.2135419630156472,,0.21254268129996542,,,Component-Whole,,probabilistic_causality_diff,glove
87,0.2136353428373802,0.2135419630156472,,0.21254268129996542,,,Component-Whole,,delta_P,glove
88,0.22234295415959254,0.22224751066856335,,0.22097431024872588,,,Component-Whole,,P(E|no C),glove
89,0.2126034353538598,0.21254623044096727,,0.2110624443896036,,,Component-Whole,,q,glove
90,0.20923538139157832,0.2091891891891892,,0.20661098281384566,,,Component-Whole,,p,glove
91,0.20601385028629612,0.20597439544807963,,0.20222269514053243,,,Component-Whole,,causal_power,glove
