,accuracy,balanced_accuracy,f1,f1_weighted,precision,recall,relation,roc_auc,y_type,model
0,0.23601350765681114,0.2357968483231641,,0.2338358972492806,,,Component-Whole,,P(E|C),bert
1,0.3304208423107046,0.33076606971343814,,0.3298486985261846,,,Component-Whole,,P(E),bert
2,0.2326955381284753,0.23266002844950212,,0.22902825454119619,,,Component-Whole,,probabilistic_causality_diff,bert
3,0.2326955381284753,0.23266002844950212,,0.22902825454119619,,,Component-Whole,,delta_P,bert
4,0.3237822542406583,0.3238406827880512,,0.32185114002293036,,,Component-Whole,,P(E|no C),bert
5,0.2348399333119197,0.23485064011379803,,0.23184295831125698,,,Component-Whole,,q,bert
6,0.2580599274996559,0.2582076813655761,,0.25553540533882957,,,Component-Whole,,p,bert
7,0.24850971996482835,0.24830725462304412,,0.2464448099503876,,,Component-Whole,,causal_power,bert
8,0.2772058306183943,0.277126600284495,,0.27674171554362637,,,Component-Whole,,"PMI(c, e)",bert
9,0.9893617021276595,0.5,0.0,,0.0,0.0,Other,0.7622461170848267,causal_dependency,bert
10,0.21547422639099878,0.21541353383458647,,0.2147778938484505,,,Other,,P(E|C),bert
11,0.2525186490773962,0.2523867741453948,,0.25238297379212093,,,Other,,P(E),bert
12,0.2168671679197995,0.21686716791979946,,0.214760853366897,,,Other,,probabilistic_causality_diff,bert
13,0.21611528822055134,0.21611528822055134,,0.21407299864165044,,,Other,,delta_P,bert
14,0.251203007518797,0.25120300751879704,,0.25064617539407297,,,Other,,P(E|no C),bert
15,0.21611528822055134,0.21611528822055134,,0.21407299864165044,,,Other,,q,bert
16,0.2460199631955434,0.24591478696741853,,0.2449079582296801,,,Other,,p,bert
17,0.24247104528902827,0.24254385964912278,,0.2415059257310749,,,Other,,causal_power,bert
18,0.2469423558897243,0.2469423558897243,,0.2455425892483724,,,Other,,"PMI(c, e)",bert
19,0.295639719311737,0.29561904761904756,,0.2884396984261208,,,Instrument-Agency,,P(E|C),bert
20,0.33511314044025764,0.3351428571428572,,0.33328880908348657,,,Instrument-Agency,,P(E),bert
21,0.30355314762245456,0.3035739348370927,,0.29614603158840813,,,Instrument-Agency,,probabilistic_causality_diff,bert
22,0.2994933416418565,0.2991929824561403,,0.2935316120663602,,,Instrument-Agency,,delta_P,bert
23,0.32338461538461544,0.3236190476190476,,0.3207209150388913,,,Instrument-Agency,,P(E|no C),bert
24,0.3033227784316893,0.3034786967418546,,0.29805882005951945,,,Instrument-Agency,,q,bert
25,0.31738461538461543,0.316952380952381,,0.314597261854271,,,Instrument-Agency,,p,bert
26,0.31738461538461543,0.316952380952381,,0.314597261854271,,,Instrument-Agency,,causal_power,bert
27,0.29592307692307696,0.2955238095238095,,0.28866638545636747,,,Instrument-Agency,,"PMI(c, e)",bert
28,0.2751851851851852,0.27570867191556847,,0.27207548102857093,,,Member-Collection,,P(E|C),bert
29,0.33058603655830987,0.3283216145285111,,0.32469677719321793,,,Member-Collection,,P(E),bert
30,0.2824338624338624,0.2824338624338624,,0.27985223566825573,,,Member-Collection,,probabilistic_causality_diff,bert
31,0.2824338624338624,0.2824338624338624,,0.27985223566825573,,,Member-Collection,,delta_P,bert
32,0.3206349206349206,0.3206349206349206,,0.3173415248062992,,,Member-Collection,,P(E|no C),bert
33,0.2824338624338624,0.2824338624338624,,0.27985223566825573,,,Member-Collection,,q,bert
34,0.2985185185185185,0.2985185185185185,,0.2966605471925779,,,Member-Collection,,p,bert
35,0.2985185185185185,0.2985185185185185,,0.29666054719257784,,,Member-Collection,,causal_power,bert
36,0.3216931216931217,0.3216931216931217,,0.31783981400484507,,,Member-Collection,,"PMI(c, e)",bert
37,0.9930297522289543,0.5,0.0,,0.0,0.0,Cause-Effect,0.5605376884422111,causal_dependency,bert
38,0.2591284979168814,0.2589993746091307,,0.2583206415896032,,,Cause-Effect,,P(E|C),bert
39,0.36197567043136475,0.362068167604753,,0.3597464272319097,,,Cause-Effect,,P(E),bert
40,0.2311871921182266,0.23109756097560977,,0.23146993244644132,,,Cause-Effect,,probabilistic_causality_diff,bert
41,0.2311871921182266,0.23109756097560977,,0.23146993244644132,,,Cause-Effect,,delta_P,bert
42,0.34196551724137936,0.34187804878048783,,0.3388132639695677,,,Cause-Effect,,P(E|no C),bert
43,0.23914285714285716,0.2390487804878049,,0.23885061498594706,,,Cause-Effect,,q,bert
