,model,metric,split,value
0,bert,accuracy,dev,0.94609375
1,bert,accuracy,test,0.9425359150530919
2,bert,accuracy,dev,0.94609375
3,bert,accuracy,test,0.9356652092442224
4,bert,accuracy,dev,0.94296875
5,bert,accuracy,test,0.9375
6,bert,accuracy,dev,0.9492583918813428
7,bert,accuracy,test,0.9362101313320825
8,bert,accuracy,dev,0.9430132708821234
9,bert,accuracy,test,0.9437148217636022
10,glove,accuracy,dev,0.94609375
11,glove,accuracy,test,0.9469081823860087
12,glove,accuracy,dev,0.94140625
13,glove,accuracy,test,0.929419113054341
14,glove,accuracy,dev,0.9390625
15,glove,accuracy,test,0.93875
16,glove,accuracy,dev,0.9461358313817331
17,glove,accuracy,test,0.9399624765478424
18,glove,accuracy,dev,0.9375487900078064
19,glove,accuracy,test,0.9518449030644153
20,gpt2,accuracy,dev,0.94609375
21,gpt2,accuracy,test,0.9494066208619613
22,gpt2,accuracy,dev,0.9515625
23,gpt2,accuracy,test,0.9381636477201749
24,gpt2,accuracy,dev,0.9453125
25,gpt2,accuracy,test,0.943125
26,gpt2,accuracy,dev,0.9531615925058547
27,gpt2,accuracy,test,0.9312070043777361
28,gpt2,accuracy,dev,0.9492583918813428
29,gpt2,accuracy,test,0.9474671669793621
30,conceptnet,accuracy,dev,0.92578125
31,conceptnet,accuracy,test,0.9312929419113054
32,conceptnet,accuracy,dev,0.9421875
33,conceptnet,accuracy,test,0.9219237976264835
34,conceptnet,accuracy,dev,0.93125
35,conceptnet,accuracy,test,0.93125
36,conceptnet,accuracy,dev,0.9313036690085871
37,conceptnet,accuracy,test,0.9274546591619762
38,conceptnet,accuracy,dev,0.9289617486338798
39,conceptnet,accuracy,test,0.943089430894309
