,model,metric,split,value
0,bert,accuracy,,0.9475327920049968
1,bert,accuracy,,0.9444097439100562
2,bert,accuracy,,0.94625
3,bert,accuracy,,0.9474671669793621
4,bert,accuracy,,0.9111944965603502
5,bert,balanced_accuracy,,0.8634790334044066
6,bert,balanced_accuracy,,0.848910803127221
7,bert,balanced_accuracy,,0.8648857214997208
8,bert,balanced_accuracy,,0.8628484631879914
9,bert,balanced_accuracy,,0.7307040743388135
10,bert,f1,,0.7823834196891191
11,bert,f1,,0.7651715039577837
12,bert,f1,,0.7794871794871794
13,bert,f1,,0.7812500000000001
14,bert,f1,,0.5798816568047337
15,bert,precision,,0.8162162162162162
16,bert,precision,,0.8146067415730337
17,bert,precision,,0.8042328042328042
18,bert,precision,,0.8152173913043478
19,bert,precision,,0.7101449275362319
20,bert,recall,,0.7512437810945274
21,bert,recall,,0.7213930348258707
22,bert,recall,,0.7562189054726368
23,bert,recall,,0.75
24,bert,recall,,0.49
25,bert,roc_auc,,0.971862117981521
26,bert,roc_auc,,0.9640262970859986
27,bert,roc_auc,,0.9587943058118984
28,bert,roc_auc,,0.9471336669049322
29,bert,roc_auc,,0.8916726233023587
30,glove,accuracy,,0.948157401623985
31,glove,accuracy,,0.9537788881948782
32,glove,accuracy,,0.949375
33,glove,accuracy,,0.9455909943714822
34,glove,accuracy,,0.9118198874296435
35,glove,balanced_accuracy,,0.8446624022743425
36,glove,balanced_accuracy,,0.8500071073205402
37,glove,balanced_accuracy,,0.8517615638746938
38,glove,balanced_accuracy,,0.8296372408863475
39,glove,balanced_accuracy,,0.7074928520371694
40,glove,f1,,0.773841961852861
41,glove,f1,,0.7944444444444444
42,glove,f1,,0.7816711590296496
43,glove,f1,,0.7563025210084033
44,glove,f1,,0.5523809523809524
45,glove,precision,,0.8554216867469879
46,glove,precision,,0.89937106918239
47,glove,precision,,0.8529411764705882
48,glove,precision,,0.8598726114649682
49,glove,precision,,0.7565217391304347
50,glove,recall,,0.7064676616915423
51,glove,recall,,0.7114427860696517
52,glove,recall,,0.7213930348258707
53,glove,recall,,0.675
54,glove,recall,,0.435
55,glove,roc_auc,,0.9753340440653874
56,glove,roc_auc,,0.9667519545131484
57,glove,roc_auc,,0.9514792015618833
58,glove,roc_auc,,0.9585310936383131
59,glove,roc_auc,,0.906036454610436
60,gpt2,accuracy,,0.9506558400999375
61,gpt2,accuracy,,0.9494066208619613
62,gpt2,accuracy,,0.94375
63,gpt2,accuracy,,0.943089430894309
64,gpt2,accuracy,,0.906816760475297
65,gpt2,balanced_accuracy,,0.880177683013504
66,gpt2,balanced_accuracy,,0.8475071073205401
67,gpt2,balanced_accuracy,,0.8591958008385521
68,gpt2,balanced_accuracy,,0.8539188706218728
69,gpt2,balanced_accuracy,,0.7217744817726948
70,gpt2,f1,,0.7999999999999999
71,gpt2,f1,,0.779291553133515
72,gpt2,f1,,0.7692307692307693
73,gpt2,f1,,0.7636363636363637
74,gpt2,f1,,0.56047197640118
75,gpt2,precision,,0.8144329896907216
76,gpt2,precision,,0.8614457831325302
77,gpt2,precision,,0.7936507936507936
78,gpt2,precision,,0.7945945945945946
79,gpt2,precision,,0.6834532374100719
80,gpt2,recall,,0.7860696517412935
81,gpt2,recall,,0.7114427860696517
82,gpt2,recall,,0.746268656716418
83,gpt2,recall,,0.735
84,gpt2,recall,,0.475
85,gpt2,roc_auc,,0.9707604832977967
86,gpt2,roc_auc,,0.9631769722814499
87,gpt2,roc_auc,,0.9641855056383557
88,gpt2,roc_auc,,0.9632130092923518
89,gpt2,roc_auc,,0.9075017869907076
90,conceptnet,accuracy,,0.915053091817614
91,conceptnet,accuracy,,0.9156777014366021
92,conceptnet,accuracy,,0.9225
93,conceptnet,accuracy,,0.9212007504690432
94,conceptnet,accuracy,,0.8880550343964978
95,conceptnet,balanced_accuracy,,0.665952380952381
96,conceptnet,balanced_accuracy,,0.6684399431414356
97,conceptnet,balanced_accuracy,,0.7000629447473142
98,conceptnet,balanced_accuracy,,0.685
99,conceptnet,balanced_accuracy,,0.5610704074338814
100,conceptnet,f1,,0.4962962962962963
101,conceptnet,f1,,0.5018450184501846
102,conceptnet,f1,,0.5664335664335665
103,conceptnet,f1,,0.5401459854014599
104,conceptnet,f1,,0.2183406113537118
105,conceptnet,precision,,0.9710144927536232
106,conceptnet,precision,,0.9714285714285714
107,conceptnet,precision,,0.9529411764705882
108,conceptnet,precision,,1.0
109,conceptnet,precision,,0.8620689655172413
110,conceptnet,recall,,0.3333333333333333
111,conceptnet,recall,,0.3383084577114428
112,conceptnet,recall,,0.40298507462686567
113,conceptnet,recall,,0.37
114,conceptnet,recall,,0.125
115,conceptnet,roc_auc,,0.9678358208955223
116,conceptnet,roc_auc,,0.9596872778962331
117,conceptnet,roc_auc,,0.9553519038118912
118,conceptnet,roc_auc,,0.9397390993566833
119,conceptnet,roc_auc,,0.8976840600428878
