,metric,relation,split,value,y_type,model
93,accuracy,Cause-Effect,test,0.16326530612244897,P(E),glove
94,accuracy,Cause-Effect,dev,0.23076923076923078,P(E),glove
95,accuracy,Cause-Effect,test,0.1702127659574468,P(E),glove
96,accuracy,Cause-Effect,dev,0.23076923076923078,P(E),glove
97,accuracy,Cause-Effect,test,0.1956521739130435,P(E),glove
98,accuracy,Cause-Effect,dev,0.15384615384615385,P(E),glove
99,accuracy,Cause-Effect,test,0.21739130434782608,P(E),glove
100,accuracy,Cause-Effect,dev,0.21052631578947367,probabilistic_causality_diff,glove
101,accuracy,Cause-Effect,test,0.22,probabilistic_causality_diff,glove
102,accuracy,Cause-Effect,dev,0.21052631578947367,probabilistic_causality_diff,glove
103,accuracy,Cause-Effect,test,0.22,probabilistic_causality_diff,glove
104,accuracy,Cause-Effect,dev,0.21052631578947367,probabilistic_causality_diff,glove
105,accuracy,Cause-Effect,test,0.22448979591836735,probabilistic_causality_diff,glove
106,accuracy,Cause-Effect,dev,0.23076923076923078,probabilistic_causality_diff,glove
107,accuracy,Cause-Effect,test,0.17777777777777778,probabilistic_causality_diff,glove
108,accuracy,Cause-Effect,dev,0.3333333333333333,probabilistic_causality_diff,glove
109,accuracy,Cause-Effect,test,0.2222222222222222,probabilistic_causality_diff,glove
110,accuracy,Cause-Effect,dev,0.21052631578947367,delta_P,glove
111,accuracy,Cause-Effect,test,0.22,delta_P,glove
112,accuracy,Cause-Effect,dev,0.21052631578947367,delta_P,glove
113,accuracy,Cause-Effect,test,0.22,delta_P,glove
114,accuracy,Cause-Effect,dev,0.21052631578947367,delta_P,glove
115,accuracy,Cause-Effect,test,0.22448979591836735,delta_P,glove
116,accuracy,Cause-Effect,dev,0.23076923076923078,delta_P,glove
117,accuracy,Cause-Effect,test,0.17777777777777778,delta_P,glove
118,accuracy,Cause-Effect,dev,0.3333333333333333,delta_P,glove
119,accuracy,Cause-Effect,test,0.2222222222222222,delta_P,glove
120,accuracy,Cause-Effect,dev,0.2631578947368421,P(E|no C),glove
121,accuracy,Cause-Effect,test,0.24,P(E|no C),glove
122,accuracy,Cause-Effect,dev,0.34210526315789475,P(E|no C),glove
123,accuracy,Cause-Effect,test,0.28,P(E|no C),glove
124,accuracy,Cause-Effect,dev,0.23076923076923078,P(E|no C),glove
125,accuracy,Cause-Effect,test,0.22916666666666666,P(E|no C),glove
126,accuracy,Cause-Effect,dev,0.23076923076923078,P(E|no C),glove
127,accuracy,Cause-Effect,test,0.2608695652173913,P(E|no C),glove
128,accuracy,Cause-Effect,dev,0.28205128205128205,P(E|no C),glove
129,accuracy,Cause-Effect,test,0.13333333333333333,P(E|no C),glove
130,accuracy,Cause-Effect,dev,0.21052631578947367,q,glove
131,accuracy,Cause-Effect,test,0.22,q,glove
132,accuracy,Cause-Effect,dev,0.21052631578947367,q,glove
133,accuracy,Cause-Effect,test,0.22,q,glove
134,accuracy,Cause-Effect,dev,0.21052631578947367,q,glove
135,accuracy,Cause-Effect,test,0.22448979591836735,q,glove
136,accuracy,Cause-Effect,dev,0.23076923076923078,q,glove
137,accuracy,Cause-Effect,test,0.17777777777777778,q,glove
138,accuracy,Cause-Effect,dev,0.3333333333333333,q,glove
139,accuracy,Cause-Effect,test,0.2222222222222222,q,glove
140,accuracy,Cause-Effect,dev,0.21052631578947367,p,glove
141,accuracy,Cause-Effect,test,0.20408163265306123,p,glove
142,accuracy,Cause-Effect,dev,0.2631578947368421,p,glove
143,accuracy,Cause-Effect,test,0.16326530612244897,p,glove
144,accuracy,Cause-Effect,dev,0.2631578947368421,p,glove
145,accuracy,Cause-Effect,test,0.20408163265306123,p,glove
146,accuracy,Cause-Effect,dev,0.20512820512820512,p,glove
147,accuracy,Cause-Effect,test,0.16666666666666666,p,glove
148,accuracy,Cause-Effect,dev,0.20512820512820512,p,glove
149,accuracy,Cause-Effect,test,0.2727272727272727,p,glove
150,accuracy,Cause-Effect,dev,0.3157894736842105,causal_power,glove
151,accuracy,Cause-Effect,test,0.26,causal_power,glove
152,accuracy,Cause-Effect,dev,0.15789473684210525,causal_power,glove
153,accuracy,Cause-Effect,test,0.18,causal_power,glove
154,accuracy,Cause-Effect,dev,0.18421052631578946,causal_power,glove
155,accuracy,Cause-Effect,test,0.20408163265306123,causal_power,glove
156,accuracy,Cause-Effect,dev,0.1282051282051282,causal_power,glove
157,accuracy,Cause-Effect,test,0.2,causal_power,glove
158,accuracy,Cause-Effect,dev,0.20512820512820512,causal_power,glove
159,accuracy,Cause-Effect,test,0.15555555555555556,causal_power,glove
