,accuracy,balanced_accuracy,f1,f1_weighted,precision,recall,relation,roc_auc,y_type,model
0,0.22312895041898403,0.22123635399304162,,0.22167009455070658,,,Component-Whole,,P(E|C),bert
1,0.25702628123680754,0.25055903710018473,,0.25469027559255536,,,Component-Whole,,P(E),bert
2,0.2432667690732207,0.2431578947368421,,0.24102484995225498,,,Component-Whole,,probabilistic_causality_diff,bert
3,0.2432667690732207,0.2431578947368421,,0.24102484995225498,,,Component-Whole,,delta_P,bert
4,0.2709573410422307,0.2709530583214793,,0.2691039349530925,,,Component-Whole,,P(E|no C),bert
5,0.2464589547102281,0.24645803698435276,,0.243739640303496,,,Component-Whole,,q,bert
6,0.25606846235029596,0.25604551920341395,,0.2547731780094291,,,Component-Whole,,p,bert
7,0.2539939915791309,0.254054054054054,,0.25336974728808526,,,Component-Whole,,causal_power,bert
8,0.9900709219858156,0.5333333333333333,0.1,,0.2,0.06666666666666667,Other,0.7512544802867384,causal_dependency,bert
9,0.22198917489693723,0.21839468617017338,,0.22035245299534467,,,Other,,P(E|C),bert
10,0.2758007763897875,0.2699744483329389,,0.27275318999333165,,,Other,,P(E),bert
11,0.20645363408521306,0.20645363408521306,,0.20560684257358272,,,Other,,probabilistic_causality_diff,bert
12,0.20429824561403512,0.20429824561403512,,0.20433397143228865,,,Other,,delta_P,bert
13,0.2751153340045359,0.2750645343766941,,0.27487158732013195,,,Other,,P(E|no C),bert
14,0.20429824561403512,0.20429824561403512,,0.20433397143228865,,,Other,,q,bert
15,0.2531099765854916,0.25295739348370927,,0.25185036701024344,,,Other,,p,bert
16,0.25526295313241754,0.2554260651629073,,0.2544051700625453,,,Other,,causal_power,bert
17,0.2399606436942952,0.2334205969469127,,0.23680263605352264,,,Instrument-Agency,,P(E|C),bert
18,0.29157669884635523,0.2831194610567339,,0.28631713089670485,,,Instrument-Agency,,P(E),bert
19,0.26544865255756345,0.26546867167919797,,0.26138608421326665,,,Instrument-Agency,,probabilistic_causality_diff,bert
20,0.26144825251755943,0.26108771929824565,,0.25736129440761635,,,Instrument-Agency,,delta_P,bert
21,0.2723846153846154,0.27266666666666667,,0.26965250183938555,,,Instrument-Agency,,P(E|no C),bert
22,0.25337012932062436,0.2535639097744361,,0.24845253586721078,,,Instrument-Agency,,q,bert
23,0.2878461538461538,0.2874285714285715,,0.28590827733501634,,,Instrument-Agency,,p,bert
24,0.2878461538461538,0.2874285714285715,,0.2859082773350163,,,Instrument-Agency,,causal_power,bert
25,0.9930297522289543,0.5,0.0,,0.0,0.0,Cause-Effect,0.5852688442211056,causal_dependency,bert
26,0.25614613401638675,0.2544784750026115,,0.25474506094139804,,,Cause-Effect,,P(E|C),bert
27,0.3020232500862027,0.29514176072559895,,0.29819229482521087,,,Cause-Effect,,P(E),bert
28,0.25220197044334974,0.25209756097560976,,0.2502345113322383,,,Cause-Effect,,probabilistic_causality_diff,bert
29,0.25220197044334974,0.25209756097560976,,0.2502345113322383,,,Cause-Effect,,delta_P,bert
30,0.29709852216748767,0.2970975609756098,,0.29620429145262006,,,Cause-Effect,,P(E|no C),bert
31,0.2552167487684729,0.2551219512195122,,0.2535967691001268,,,Cause-Effect,,q,bert
32,0.2560613100718939,0.2559918699186992,,0.25409337041334384,,,Cause-Effect,,p,bert
33,0.2542315270935961,0.2543170731707317,,0.2527969969782431,,,Cause-Effect,,causal_power,bert
34,0.9739777567831867,0.5,0.0,,0.0,0.0,Entity-Destination,0.5864948263118995,causal_dependency,bert
35,0.26164469380566596,0.2587660590430989,,0.2571970112866838,,,Entity-Destination,,P(E|C),bert
36,0.25918203967977727,0.25937503871327394,,0.2591771138348067,,,Entity-Destination,,P(E),bert
37,0.2651336898395722,0.2651336898395722,,0.2611238050204115,,,Entity-Destination,,probabilistic_causality_diff,bert
38,0.2651336898395722,0.2651336898395722,,0.2611238050204115,,,Entity-Destination,,delta_P,bert
39,0.28288527587551743,0.28310160427807485,,0.2811131700607322,,,Entity-Destination,,P(E|no C),bert
40,0.2651336898395722,0.2651336898395722,,0.2611238050204115,,,Entity-Destination,,q,bert
41,0.2590374331550802,0.25903743315508027,,0.25792870620287955,,,Entity-Destination,,p,bert
42,0.2590374331550802,0.25903743315508027,,0.25792870620287955,,,Entity-Destination,,causal_power,bert
43,0.9814814814814815,0.5,0.0,,0.0,0.0,Content-Container,0.7415094339622641,causal_dependency,bert
