,model,metric,value
0,bert,accuracy,0.9475327920049968
1,bert,accuracy,0.9444097439100562
2,bert,accuracy,0.94625
3,bert,accuracy,0.9474671669793621
4,bert,accuracy,0.9111944965603502
5,bert,balanced_accuracy,0.8634790334044066
6,bert,balanced_accuracy,0.848910803127221
7,bert,balanced_accuracy,0.8648857214997208
8,bert,balanced_accuracy,0.8628484631879914
9,bert,balanced_accuracy,0.7307040743388135
10,bert,f1,0.7823834196891191
11,bert,f1,0.7651715039577837
12,bert,f1,0.7794871794871794
13,bert,f1,0.7812500000000001
14,bert,f1,0.5798816568047337
15,bert,precision,0.8162162162162162
16,bert,precision,0.8146067415730337
17,bert,precision,0.8042328042328042
18,bert,precision,0.8152173913043478
19,bert,precision,0.7101449275362319
20,bert,recall,0.7512437810945274
21,bert,recall,0.7213930348258707
22,bert,recall,0.7562189054726368
23,bert,recall,0.75
24,bert,recall,0.49
25,bert,roc_auc,0.971862117981521
26,bert,roc_auc,0.9640262970859986
27,bert,roc_auc,0.9587943058118984
28,bert,roc_auc,0.9471336669049322
29,bert,roc_auc,0.8916726233023587
30,glove,accuracy,0.8744534665833854
31,glove,accuracy,0.8744534665833854
32,glove,accuracy,0.874375
33,glove,accuracy,0.8749218261413383
34,glove,accuracy,0.8749218261413383
35,glove,balanced_accuracy,0.5
36,glove,balanced_accuracy,0.5
37,glove,balanced_accuracy,0.5
38,glove,balanced_accuracy,0.5
39,glove,balanced_accuracy,0.5
40,glove,f1,0.0
41,glove,f1,0.0
42,glove,f1,0.0
43,glove,f1,0.0
44,glove,f1,0.0
45,glove,precision,0.0
46,glove,precision,0.0
47,glove,precision,0.0
48,glove,precision,0.0
49,glove,precision,0.0
50,glove,recall,0.0
51,glove,recall,0.0
52,glove,recall,0.0
53,glove,recall,0.0
54,glove,recall,0.0
55,glove,roc_auc,0.6530383795309168
56,glove,roc_auc,0.6002132196162047
57,glove,roc_auc,0.6407384094538031
58,glove,roc_auc,0.6486954967834168
59,glove,roc_auc,0.5715689778413152
